,masa A,,
t,x,y,
0,000,0,279,-0,191
0,033,0,294,-0,164
0,067,0,298,-0,151
0,100,0,306,-0,135
0,133,0,312,-0,123
0,167,0,312,-0,114
0,200,0,321,-0,101
0,233,0,321,-8,783E-2
0,267,0,324,-7,994E-2
0,300,0,326,-6,079E-2
0,333,0,317,-6,417E-2
0,367,0,322,-5,065E-2
0,400,0,322,-5,177E-2
0,433,0,321,-4,501E-2
0,467,0,318,-3,825E-2
0,500,0,319,-2,924E-2
0,533,0,317,-1,684E-2
0,567,0,314,-1,008E-2
0,600,0,308,5,692E-3
0,633,0,304,1,921E-2
0,667,0,304,2,485E-2
0,700,0,300,3,274E-2
0,733,0,298,4,006E-2
0,767,0,295,4,738E-2
0,800,0,290,5,753E-2
0,833,0,287,6,316E-2
0,867,0,283,6,879E-2
0,900,0,280,7,443E-2
0,933,0,270,8,119E-2
0,967,0,263,8,908E-2
1,000,0,259,9,584E-2
1,033,0,249,0,106
1,067,0,241,0,110
1,100,0,233,0,116
1,133,0,224,0,127
1,167,0,217,0,131
1,200,0,208,0,142
1,233,0,201,0,147
1,267,0,196,0,149
1,300,0,181,0,160
1,333,0,174,0,167
1,367,0,167,0,170
1,400,0,161,0,174
1,433,0,155,0,178
1,467,0,143,0,190
1,500,0,138,0,194
1,533,0,131,0,200
1,567,0,123,0,206
1,600,0,114,0,213
1,633,0,103,0,223
1,667,8,850E-2,0,243
1,700,8,287E-2,0,240
1,733,5,920E-2,0,243
1,767,5,357E-2,0,246
1,800,3,892E-2,0,246
1,833,3,103E-2,0,246
1,867,2,653E-2,0,246
1,900,1,977E-2,0,248
1,933,1,458E-2,0,245
1,967,9,390E-3,0,242
2,000,4,202E-3,0,238
2,033,-5,952E-3,0,237
2,067,-1,611E-2,0,236
2,100,-2,626E-2,0,234
2,133,-3,466E-2,0,231
2,167,-4,307E-2,0,229
2,200,-5,147E-2,0,226
2,233,-5,882E-2,0,220
2,267,-6,618E-2,0,213
2,300,-7,353E-2,0,207
2,333,-8,088E-2,0,200
2,367,-8,824E-2,0,193
2,400,-9,559E-2,0,186
2,433,-0,103,0,176
2,467,-0,111,0,166
2,500,-0,119,0,157
2,533,-0,124,0,147
2,567,-0,129,0,138
2,600,-0,133,0,129
2,633,-0,138,0,117
2,667,-0,143,0,104
2,700,-0,147,9,139E-2
2,733,-0,150,7,633E-2
2,767,-0,153,6,127E-2
2,800,-0,155,4,622E-2
2,833,-0,156,2,626E-2
2,867,-0,156,6,303E-3
2,900,-0,157,-1,366E-2
2,933,-0,153,-3,256E-2
2,967,-0,149,-5,147E-2
3,000,-0,145,-7,038E-2
3,033,-0,137,-9,139E-2
3,067,-0,130,-0,112
3,100,-0,122,-0,133
3,133,-0,109,-0,150
3,167,-9,594E-2,-0,167
3,200,-8,298E-2,-0,184
3,233,-6,408E-2,-0,199
3,267,-4,517E-2,-0,213
3,300,-2,626E-2,-0,228
3,333,-5,252E-3,-0,235
3,367,1,576E-2,-0,243
3,400,3,676E-2,-0,250
3,433,5,847E-2,-0,248
3,467,8,018E-2,-0,246
3,500,0,102,-0,244
3,533,0,145,-0,241
3,567,0,181,-0,230
3,600,0,217,-0,219
